Date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,TCS.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,NAUKRI.BO
2020-08-03,37595.73046875,962.7999877929688,2059.0,1030.0,434.0,551.5499877929688,347.0,113.9000015258789,725.0,2299.0,16530.0,1052.0,38.599998474121094,390.0,13240.0,97.44999694824219,12.0,595.0,364.0,28.549999237060547,3160.0
2020-08-04,37092.859375,959.7000122070312,2017.0999755859375,1005.9000244140625,422.79998779296875,548.0,346.3999938964844,116.6500015258789,709.7999877929688,2260.0,16575.19921875,1097.0,39.349998474121094,398.0,13084.0,94.0,12.300000190734863,595.7000122070312,367.5,29.399999618530273,3166.0
2020-08-05,37892.359375,950.25,2170.0,1050.800048828125,438.0,550.2000122070312,354.20001220703125,119.4000015258789,719.2999877929688,2264.949951171875,16545.0,1087.0,38.75,385.0,12900.0,94.1500015258789,12.300000190734863,610.5999755859375,370.0,29.100000381469727,3250.0
2020-08-06,37946.80078125,950.0,2160.0,1040.0,436.79998779296875,562.5,352.5,122.5,728.4500122070312,2271.10009765625,16501.099609375,1106.5,38.95000076293945,415.0,12800.0,93.6500015258789,13.470000267028809,615.0,367.95001220703125,29.450000762939453,3358.0
2020-08-07,37951.0703125,970.8499755859375,2124.550048828125,1036.0,430.20001220703125,553.5,359.20001220703125,124.94999694824219,739.0,2318.89990234375,16757.0,1118.0,39.5,422.20001220703125,13100.0,96.25,13.9399995803833,602.9500122070312,369.95001220703125,29.399999618530273,3330.0
2020-08-10,38168.421875,950.75,2156.5,1041.699951171875,435.0,562.5,359.0,122.0,763.4000244140625,2310.0,16900.0,1097.0,40.95000076293945,421.5,13625.099609375,97.5,14.579999923706055,599.9000244140625,371.70001220703125,29.899999618530273,3350.0
2020-08-11,38371.33984375,951.9500122070312,2137.699951171875,1051.0,436.0,560.7999877929688,369.1000061035156,126.0,800.0,2285.0,16667.05078125,1073.0,40.150001525878906,423.0,13606.0,97.9000015258789,15.579999923706055,595.2999877929688,370.04998779296875,29.950000762939453,3560.0
2020-08-12,38321.12890625,950.5,2124.0,1064.0,444.0,551.25,365.0,124.05000305175781,776.0,2281.0,16620.0,1063.300048828125,39.79999923706055,416.5,13250.0,97.0999984741211,16.350000381469727,607.0,370.8999938964844,31.899999618530273,3420.0
2020-08-13,38456.640625,955.3499755859375,2133.5,1065.3499755859375,453.0,537.9000244140625,367.75,124.0,766.0,2277.5,16538.69921875,1061.0,40.25,419.95001220703125,14000.099609375,99.0,17.15999984741211,611.5,367.0,30.899999618530273,3318.0
2020-08-14,38432.94140625,955.0,2122.300048828125,1068.0,451.1000061035156,542.5499877929688,371.3999938964844,125.0,762.0,2274.39990234375,16478.099609375,1061.0,39.650001525878906,430.54998779296875,14400.0,98.6500015258789,15.850000381469727,621.5,367.95001220703125,30.25,3245.0
2020-08-17,38062.0703125,953.5,2103.14990234375,1045.050048828125,436.29998779296875,533.0,366.1000061035156,124.44999694824219,779.9500122070312,2255.0,16356.0,1113.699951171875,39.04999923706055,413.0,13790.0,96.25,14.550000190734863,618.0,367.8999938964844,29.549999237060547,3251.0
2020-08-18,38084.69921875,961.7999877929688,2089.699951171875,1028.0999755859375,437.0,527.0,361.1000061035156,128.39999389648438,776.7000122070312,2264.800048828125,16430.0,1126.0,38.599998474121094,428.79998779296875,13960.0,97.6500015258789,14.15999984741211,630.9000244140625,369.0,29.299999237060547,3304.0
2020-08-19,38727.890625,970.0,2141.949951171875,1062.5999755859375,445.70001220703125,529.4000244140625,373.70001220703125,127.0999984741211,773.0,2273.89990234375,16675.0,1152.0999755859375,40.150001525878906,437.70001220703125,13851.0,97.0,15.449999809265137,648.0,375.5,29.799999237060547,3315.0
2020-08-20,38283.8984375,959.0,2118.050048828125,1054.0,439.0,530.0499877929688,366.29998779296875,129.0,758.4500122070312,2257.0,16348.5,1139.0,39.849998474121094,434.0,13650.0,101.0,15.890000343322754,640.0,371.25,29.899999618530273,3334.0
2020-08-21,38471.9296875,960.0999755859375,2119.800048828125,1060.25,438.25,529.0,369.54998779296875,130.0,769.9500122070312,2254.0,16235.7998046875,1135.0,39.45000076293945,450.0,13793.0,102.5999984741211,15.949999809265137,670.0499877929688,373.1499938964844,30.299999237060547,3317.35009765625
2020-08-24,38566.9609375,949.8499755859375,2098.800048828125,1086.0,442.25,520.0,373.0,131.0,764.0,2248.0,16560.0,1132.0,44.79999923706055,454.1000061035156,14205.0,101.69999694824219,15.350000381469727,661.0,378.70001220703125,32.20000076293945,3250.050048828125
2020-08-25,38948.4609375,946.4500122070312,2105.0,1120.0,451.0,533.0,382.0,128.25,755.0,2250.0,16482.05078125,1133.449951171875,42.599998474121094,451.79998779296875,14329.599609375,102.05000305175781,14.800000190734863,665.0999755859375,373.0,31.0,3236.0
2020-08-26,38930.1796875,938.5499877929688,2087.39990234375,1120.050048828125,452.95001220703125,527.0,387.0,130.0,753.6500244140625,2245.0,16285.0,1144.9000244140625,41.5,470.0,14399.099609375,100.0,14.8100004196167,662.0,369.75,30.600000381469727,3315.0
2020-08-27,39293.53125,960.0,2146.25,1128.0,464.1000061035156,514.7999877929688,391.0,128.64999389648438,749.6500244140625,2261.050048828125,16190.0,1140.0,41.650001525878906,467.54998779296875,14350.0,100.0,14.699999809265137,650.0,370.3500061035156,30.649999618530273,3251.10009765625
2020-08-28,39264.48046875,950.0999755859375,2120.0,1111.949951171875,475.1000061035156,513.7999877929688,394.0,128.0,760.0,2265.0,16350.0,1151.0,41.650001525878906,460.0,14200.0,100.0,15.119999885559082,668.0,375.8999938964844,30.549999237060547,3285.5
2020-08-31,39888.1484375,935.0,2172.0,1125.199951171875,518.0,520.0,415.0,130.6999969482422,750.0999755859375,2241.0,16157.0,1132.0,42.0,460.0,14200.0,100.0,15.300000190734863,658.4000244140625,377.8500061035156,32.25,3388.0
2020-09-01,38754.0,925.0,2095.0,1122.0,495.79998779296875,517.0,394.1499938964844,129.35000610351562,710.0999755859375,2265.0,15951.0498046875,1101.0,38.29999923706055,438.70001220703125,13288.0,95.80000305175781,14.300000190734863,635.0999755859375,368.3500061035156,30.600000381469727,3276.0
2020-09-02,38892.640625,917.9000244140625,2095.0,1122.050048828125,486.0,552.0,386.0,133.0,730.25,2249.0,16234.0,1128.0,38.79999923706055,435.1000061035156,12410.0,96.0,14.760000228881836,627.0,374.0,30.0,3311.0
2020-09-03,39165.80078125,925.75,2128.0,1135.0,489.0,550.7999877929688,392.79998779296875,127.0,740.0,2265.10009765625,16002.0,1125.0,39.95000076293945,437.5,12928.9501953125,96.69999694824219,14.350000381469727,647.7999877929688,378.0,29.700000762939453,3508.85009765625
2020-09-04,38325.0,921.5,2065.60009765625,1106.0,470.0,530.0999755859375,373.1000061035156,126.5,729.0,2242.0,16279.5498046875,1155.550048828125,38.70000076293945,430.0,12800.0,95.5,14.149999618530273,650.0,375.0,29.450000762939453,3310.050048828125
2020-09-07,38284.78125,919.25,2080.199951171875,1088.0999755859375,456.25,526.3499755859375,373.29998779296875,126.0,725.75,2288.0,16231.0,1158.0999755859375,39.04999923706055,438.54998779296875,12999.0,97.0,14.199999809265137,650.0,371.3500061035156,29.299999237060547,3375.0
