,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
36,2018-02-22,33817.089844,574.450012,923.150024,926.799988,533.599976,389.231873,318.899994,326.5,596.849976,3044.0,7575.0,821.0,70.0,640.0,19005.0,174.187546,312.0,581.700012,305.649994,108.0,245.949997
37,2018-02-23,33832.0,582.5,924.200012,928.0,525.0,383.815674,319.5,330.0,586.150024,2975.0,7544.0,821.950012,73.050003,635.0,19288.0,172.875046,316.0,580.900024,302.700012,108.400002,240.100006
38,2018-02-26,34225.71875,578.5,936.099976,944.0,537.200012,394.739868,323.100006,338.100006,598.200012,3024.0,7600.0,819.900024,76.900002,668.0,19032.849609,172.537537,328.0,592.0,307.850006,108.0,243.0
39,2018-02-27,34558.558594,571.049988,939.0,956.025024,550.549988,388.313873,329.0,343.100006,591.049988,3010.0,7622.049805,825.0,78.300003,685.0,19200.0,173.49379,326.600006,617.849976,306.5,107.0,247.899994
40,2018-02-28,34155.628906,574.025024,944.5,946.900024,535.0,395.657867,315.0,338.0,590.299988,3010.0,7747.399902,824.0,72.550003,680.0,18900.849609,171.000046,323.799988,607.0,311.0,100.050003,246.0
41,2018-03-01,34141.21875,586.724976,950.849976,937.5,525.450012,394.280853,313.0,327.0,592.0,3049.600098,7777.0,820.0,74.5,681.0,18850.0,170.812546,320.700012,615.0,308.0,104.699997,250.0
42,2018-03-05,34034.28125,580.0,944.5,937.5,524.799988,393.77597,304.799988,319.799988,581.0,3025.0,7851.0,810.5,79.5,679.5,18702.050781,169.875046,319.850006,607.0,311.600006,100.050003,244.699997
43,2018-03-06,34047.429688,583.625,929.700012,937.5,525.599976,387.579468,308.399994,318.100006,582.799988,2960.0,7744.0,814.0,85.199997,664.849976,18499.0,166.500046,315.600006,632.0,310.0,101.849998,246.449997
44,2018-03-07,33279.390625,575.650024,908.599976,922.5,513.450012,377.756866,292.0,311.100006,586.0,2892.0,7689.0,806.0,81.199997,644.0,18100.0,164.662537,311.25,623.0,310.0,96.0,240.050003
45,2018-03-08,33244.519531,572.0,899.700012,929.974976,517.5,378.215881,288.0,313.700012,582.900024,2940.399902,7759.0,819.0,81.0,635.0,18000.0,165.093796,312.0,631.0,305.0,97.0,247.0
46,2018-03-09,33465.050781,580.099976,915.0,927.5,521.200012,373.993073,300.950012,311.549988,576.0,2912.0,7735.899902,818.75,75.5,650.0,18050.25,164.343796,309.100006,637.0,303.649994,96.5,249.800003
