,Days to Maturity,Implied Volatility,Historical Volatility
66,38,0.5101624914602456,0.35155917009412846
67,42,0.31042060536115385,0.2773234341292932
68,10,0.31155424301498835,0.21316996472570202
69,64,0.2759180668026031,0.23151245205795992
70,49,0.21405189988988743,0.2857322078686311
71,62,0.47871206936600874,0.19639248462116923
72,72,0.10245866811718925,0.1644494453799554
73,6,0.1294245514933348,0.1900197027834726
74,69,0.15902815428465386,0.22766967557869017
75,84,0.2103203740991582,0.29854159713486356
76,23,0.2508365848744774,0.4199514501783537
77,17,0.20835639730791145,0.2317618836459351
78,3,0.5834151509712688,0.0
79,41,0.4728016943585317,0.36006877118710334
80,78,0.15352865253944015,0.305164689837594
81,3,0.5555437012282728,0.0
82,62,0.25379190862911655,0.3107018664715545
83,65,0.133849584115551,0.1954293389594196
84,28,0.19937680402008426,0.3811826718004494
85,34,0.369009110070972,0.346325833689198
86,43,0.1731294610128429,0.15315345442506503
87,9,0.43723528470242956,0.309154505233927
88,85,0.14930662926399346,0.19961064046977542
89,10,0.09283832452612288,0.24610166588439072
90,62,0.23858661307247397,0.3107018664715545
91,13,0.019717340283537218,0.1951721116561852
92,65,0.1870005375126506,0.30945472094184817
93,50,0.2931130246048977,0.3295636132831544
94,31,0.11162720066026202,0.28361868425146824
95,52,0.21887596308417767,0.22038138867503174
96,57,0.34973622891031997,0.31383780165960684
97,28,0.2816430657731439,0.2759625239955559
98,6,0.7303157253246021,0.08113904347002514
99,35,0.35753858761947915,0.2684454176391888
100,38,0.40455629659798675,0.35155917009412846
101,86,0.26672430283606524,0.2438835719213132
102,8,0.07924491444882209,0.2567357770311941
103,23,0.6228659518946361,0.462610792830559
104,71,0.17932993359544258,0.29098540737902484
105,30,0.1239526200130316,0.30461015347280573
106,87,0.1875275160511041,0.2346676469020366
107,90,0.21744237733168081,0.23072126736607096
108,7,0.6585646370636298,0.4126245126830392
109,57,0.24428974635132325,0.31383780165960684
110,37,0.42988714758320073,0.29642314968879463
