,Days to Maturity,Implied Volatility,Historical Volatility
123,50,0.6613765646758262,0.2708486976476579
124,23,0.3725392868562086,0.3028744111252312
125,86,0.5078154755045877,0.23468174011667078
126,56,0.2588044029203414,0.29688070965898977
127,71,0.5097532184261521,0.3142516905675038
128,23,0.5611389702150321,0.3028744111252312
129,43,0.3350927452472103,0.21415553056473244
130,8,0.41569697383428345,0.17735197675893552
131,62,0.14481578567357348,0.28462272692183094
132,85,0.34326354268926446,0.26460542813966503
133,72,0.5347863000509806,0.27412973874618995
134,80,0.391310411648896,0.2801641097129097
135,86,0.3851047933937939,0.32413180839756306
136,93,0.4181289825908796,0.32625386829184305
137,50,0.3646359305804976,0.37897010701563816
138,50,0.7254347735159432,0.2745806367048181
139,49,0.3621435298961686,0.22275073659868622
140,83,0.47557868430456385,0.34318755466126505
141,15,0.286935241299237,0.22732232722090204
142,52,0.886388827525614,0.24566962750649013
143,42,0.8416642275263602,0.22389569971347434
144,58,0.49211059490669573,0.3581010348478441
145,64,0.5338282610496684,0.366396448967247
146,34,0.4242860753527386,0.21766133388014172
147,76,0.7382806659317099,0.34775863141151825
148,29,0.3354972864358343,0.22993210939046319
149,59,0.6604747335893649,0.24975893164087962
150,30,0.7548837132103122,0.3188881669744711
151,31,0.533531025923519,0.20063771659908963
152,56,0.8597256242645823,0.3071620557789128
153,71,0.45153871928481554,0.18712956163655237
154,63,0.4586612761171468,0.324619876035732
155,45,0.6245188663021138,0.3997960398396876
156,17,0.30803329697844667,0.23523746582835464
157,49,0.4457064757900208,0.29543998753142103
158,56,0.7378596817041386,0.27673847498236026
159,56,0.5227316380860831,0.28256637779172467
160,42,0.4016420102542208,0.32554200250991855
161,9,0.42515896978076445,0.25074699939585465
162,59,0.46688953176801173,0.21011000952438988
163,44,0.3456617189519399,0.22577741867388235
164,52,0.5281028445865886,0.24622217640081293
165,34,0.2867773396718582,0.21766133388014172
166,56,0.4867997359902297,0.2783494605906821
167,8,0.1997190962443609,0.3422347961676807
168,58,0.2674903428992934,0.22464224591308898
169,70,0.32388183267953824,0.2424588775104301
170,50,0.5668601580145572,0.2708486976476579
171,43,0.3557006736959165,0.3766926286145614
172,52,0.7075635896186483,0.24186273617867227
173,69,0.4347667535053289,0.21669034794577013
174,90,0.4719610074595503,0.3374553494106236
175,37,0.896927254138313,0.18120592151196244
176,9,0.460050130997961,0.3795653413162804
177,43,0.5212284152155535,0.28349493140501564
178,70,0.5925869408985764,0.37138700062211405
179,63,0.7018165263915814,0.28437001785821026
180,15,0.3237618791422334,0.19348281468272505
181,57,0.8343382585099411,0.28210511673905636
182,31,0.7406041498081697,0.29901079896739985
183,77,0.5040486201040837,0.40251346981696146
184,64,0.6813232361894709,0.28147411020972624
185,23,0.3225610897903796,0.24883834899185625
186,63,0.7215870639724292,0.2952443510388829
187,16,0.5963895096078898,0.1666582489238212
188,28,0.21974092393685607,0.2856761521313065
189,79,0.4965792398088898,0.3384938918129319
190,42,0.4173188667528332,0.32554200250991855
191,30,0.2455145379030192,0.220800196401511
192,56,0.36215172254395395,0.20317075986493022
193,13,0.2498105935696601,0.3020313359348598
194,41,0.2999142777614152,0.2470289791797996
